country,Period,Age (x),Age interval (n),nmx,nqx,npx,lx,ndx,nLx,nSx,Tx,e0x,nax
Madagascar,2095-2100,40,5,0.00100371,0.00500667,0.99499333,98253.754,491.925,490107.737,0.9939726,4345542.364,44.2277,2.6398
Madagascar,2095-2100,45,5,0.00144702,0.00721058,0.99278942,97761.829,704.919,487153.659,0.99127753,3855434.627,39.437,2.6515
Madagascar,2095-2100,50,5,0.00210745,0.01048557,0.98951443,97056.91,1017.697,482904.478,0.98704856,3368280.968,34.7042,2.6613
Madagascar,2095-2100,55,5,0.00320558,0.01590955,0.98409045,96039.213,1527.941,476650.17,0.97987982,2885376.489,30.0437,2.6793
Madagascar,2095-2100,60,5,0.00514573,0.02542937,0.97457063,94511.272,2403.362,467059.883,0.96546093,2408726.319,25.4861,2.713
Madagascar,2095-2100,65,5,0.00938178,0.0459299,0.9540701,92107.911,4230.507,450928.068,0.93809151,1941666.436,21.0803,2.7281
Madagascar,2095-2100,70,5,0.01688867,0.0812963,0.9187037,87877.403,7144.108,423011.79,0.89191891,1490738.368,16.9638,2.7079
Madagascar,2095-2100,75,5,0.03012729,0.14079434,0.85920566,80733.295,11366.791,377292.216,0.81462331,1067726.578,13.2254,2.6797
Madagascar,2095-2100,80,5,0.05408304,0.23963262,0.76036738,69366.504,16622.477,307351.036,0.69578984,690434.362,9.9534,2.6248
Madagascar,2095-2100,85,5,0.09419493,0.38191527,0.61808473,52744.027,20143.749,213851.729,0.54077906,383083.326,7.2631,2.5244
Madagascar,2095-2100,90,5,0.15593846,0.55317758,0.44682242,32600.278,18033.743,115646.536,0.37192191,169231.597,5.1911,2.3741
Madagascar,2095-2100,95,5,0.2447944,0.7228191,0.2771809,14566.535,10528.97,43011.481,0.19732328,53585.061,3.6786,2.1677
Madagascar,2095-2100,100,-1,0.381854284,...,...,4037.565,4037.565,10573.58,...,10573.58,2.6188,2.6188
Malawi,2095-2100,0,1,0.00522452,0.00519919,0.99480081,100000,519.919,99515.243,0.99399203,8325929.33,83.2593,0.0676
Malawi,2095-2100,1,4,0.00044484,0.00177741,0.99822259,99480.081,176.817,397480.771,0.99861925,8226414.087,82.6941,1.5141
Malawi,2095-2100,5,5,0.00016646,0.00083194,0.99916806,99303.265,82.615,496309.786,0.9992406,7828933.317,78.8386,2.5
Malawi,2095-2100,10,5,0.00013741,0.0006868,0.9993132,99220.65,68.145,495932.888,0.99914171,7332623.53,73.9022,2.5
Malawi,2095-2100,15,5,0.00022343,0.00111655,0.99888345,99152.505,110.709,495507.236,0.99858081,6836690.643,68.9513,2.694
Malawi,2095-2100,20,5,0.00034954,0.00174625,0.99825375,99041.796,172.951,494804.019,0.99792787,6341183.407,64.0253,2.6585
Malawi,2095-2100,25,5,0.00047986,0.00239656,0.99760344,98868.845,236.945,493778.719,0.99730155,5846379.388,59.1327,2.6134
Malawi,2095-2100,30,5,0.00060515,0.00302139,0.99697861,98631.9,298.006,492446.282,0.99652089,5352600.669,54.2685,2.6067
Malawi,2095-2100,35,5,0.00080568,0.00402075,0.99597925,98333.894,395.376,490733.007,0.9951746,4860154.387,49.425,2.6315
Malawi,2095-2100,40,5,0.00114658,0.00571736,0.99428264,97938.518,559.95,488365.023,0.99342943,4369421.38,44.6139,2.6291
Malawi,2095-2100,45,5,0.00151469,0.00754642,0.99245358,97378.569,734.859,485156.185,0.99076338,3881056.358,39.8553,2.6367
Malawi,2095-2100,50,5,0.00224411,0.01116148,0.98883852,96643.71,1078.687,480674.983,0.986976,3395900.173,35.1383,2.642
Malawi,2095-2100,55,5,0.00306227,0.01520207,0.98479793,95565.023,1452.786,474414.67,0.98100558,2915225.19,30.5051,2.6525
Malawi,2095-2100,60,5,0.00481069,0.02378978,0.97621022,94112.237,2238.91,465403.437,0.9687699,2440810.519,25.9351,2.6963
